SettlementPoint,Average Price,Month,Year
HB_BUSAVG,18.289347222222197,April,2016
HB_BUSAVG,23.70508333333335,April,2017
HB_BUSAVG,23.142958333333308,April,2018
HB_BUSAVG,22.613180555555562,April,2019
HB_BUSAVG,30.567137096774225,August,2016
HB_BUSAVG,27.50701612903228,August,2017
HB_BUSAVG,31.661559139784913,August,2018
HB_BUSAVG,126.38408602150527,August,2019
HB_BUSAVG,25.31830645161287,December,2016
HB_BUSAVG,21.187956989247333,December,2017
HB_BUSAVG,30.268185483870955,December,2018
HB_BUSAVG,18.715080645161272,December,2019
HB_BUSAVG,15.288247126436788,February,2016
HB_BUSAVG,20.1178273809524,February,2017
HB_BUSAVG,21.854315476190465,February,2018
HB_BUSAVG,21.186369047619046,February,2019
HB_BUSAVG,19.209301075268822,January,2016
HB_BUSAVG,23.25278225806453,January,2017
HB_BUSAVG,37.86967741935482,January,2018
HB_BUSAVG,24.59256720430107,January,2019
HB_BUSAVG,27.187473118279588,July,2016
HB_BUSAVG,31.45427419354836,July,2017
HB_BUSAVG,78.85944892473117,July,2018
HB_BUSAVG,29.72962365591398,July,2019
HB_BUSAVG,23.90981944444443,June,2016
HB_BUSAVG,27.669152777777793,June,2017
HB_BUSAVG,29.96612499999997,June,2018
HB_BUSAVG,25.08554166666668,June,2019
HB_BUSAVG,16.755625841184376,March,2016
HB_BUSAVG,22.569892328398367,March,2017
HB_BUSAVG,22.561978465679648,March,2018
HB_BUSAVG,27.565720053835797,March,2019
HB_BUSAVG,18.15958333333335,May,2016
HB_BUSAVG,25.087352150537626,May,2017
HB_BUSAVG,34.00524193548385,May,2018
HB_BUSAVG,23.959932795698922,May,2019
HB_BUSAVG,19.244902777777792,November,2016
HB_BUSAVG,22.677458333333327,November,2017
HB_BUSAVG,30.644499999999972,November,2018
HB_BUSAVG,23.46837500000001,November,2019
HB_BUSAVG,25.2048387096774,October,2016
HB_BUSAVG,23.563279569892487,October,2017
HB_BUSAVG,29.95782258064515,October,2018
HB_BUSAVG,28.247056451612934,October,2019
HB_BUSAVG,26.861750000000033,September,2016
HB_BUSAVG,24.18416666666669,September,2017
HB_BUSAVG,27.17544444444446,September,2018
HB_BUSAVG,79.61562499999994,September,2019
HB_HOUSTON,18.940958333333334,April,2016
HB_HOUSTON,32.295736111111104,April,2017
HB_HOUSTON,24.652694444444446,April,2018
HB_HOUSTON,23.870652777777796,April,2019
HB_HOUSTON,32.9725403225807,August,2016
HB_HOUSTON,29.401720430107513,August,2017
HB_HOUSTON,31.944247311827972,August,2018
HB_HOUSTON,126.62533602150543,August,2019
HB_HOUSTON,25.727661290322622,December,2016
HB_HOUSTON,21.549005376344063,December,2017
HB_HOUSTON,30.333548387096755,December,2018
HB_HOUSTON,18.67249999999999,December,2019
HB_HOUSTON,15.464540229885062,February,2016
HB_HOUSTON,23.265714285714306,February,2017
HB_HOUSTON,22.16410714285716,February,2018
HB_HOUSTON,21.50781249999998,February,2019
HB_HOUSTON,19.565725806451617,January,2016
HB_HOUSTON,24.78185483870971,January,2017
HB_HOUSTON,37.944784946236524,January,2018
HB_HOUSTON,25.426034946236562,January,2019
HB_HOUSTON,29.53892473118277,July,2016
HB_HOUSTON,34.37583333333333,July,2017
HB_HOUSTON,79.03404569892474,July,2018
HB_HOUSTON,29.91100806451612,July,2019
HB_HOUSTON,26.255736111111084,June,2016
HB_HOUSTON,33.16834722222224,June,2017
HB_HOUSTON,30.628486111111098,June,2018
HB_HOUSTON,26.897680555555574,June,2019
HB_HOUSTON,17.12495289367428,March,2016
HB_HOUSTON,28.21329744279944,March,2017
HB_HOUSTON,23.782543741588132,March,2018
HB_HOUSTON,27.832032301480492,March,2019
HB_HOUSTON,19.17408602150539,May,2016
HB_HOUSTON,31.533172043010744,May,2017
HB_HOUSTON,34.14755376344084,May,2018
HB_HOUSTON,24.794274193548365,May,2019
HB_HOUSTON,20.36593055555555,November,2016
HB_HOUSTON,26.091055555555556,November,2017
HB_HOUSTON,31.319236111111124,November,2018
HB_HOUSTON,24.0215,November,2019
HB_HOUSTON,28.24955645161289,October,2016
HB_HOUSTON,30.141236559139788,October,2017
HB_HOUSTON,30.981935483870988,October,2018
HB_HOUSTON,30.393602150537653,October,2019
HB_HOUSTON,28.742416666666674,September,2016
HB_HOUSTON,26.542944444444462,September,2017
HB_HOUSTON,27.581361111111068,September,2018
HB_HOUSTON,80.5876527777777,September,2019
HB_HUBAVG,18.16686111111111,April,2016
HB_HUBAVG,24.830486111111128,April,2017
HB_HUBAVG,22.450305555555552,April,2018
HB_HUBAVG,22.221166666666647,April,2019
HB_HUBAVG,30.948534946236535,August,2016
HB_HUBAVG,27.83861559139788,August,2017
HB_HUBAVG,31.69458333333332,August,2018
HB_HUBAVG,126.34983870967757,August,2019
HB_HUBAVG,25.36259408602154,December,2016
HB_HUBAVG,21.209852150537618,December,2017
HB_HUBAVG,30.191989247311827,December,2018
HB_HUBAVG,18.623373655914005,December,2019
HB_HUBAVG,15.269252873563223,February,2016
HB_HUBAVG,20.352127976190452,February,2017
HB_HUBAVG,21.83005952380953,February,2018
HB_HUBAVG,21.250639880952367,February,2019
HB_HUBAVG,19.25869623655914,January,2016
HB_HUBAVG,23.325551075268802,January,2017
HB_HUBAVG,37.77303763440862,January,2018
HB_HUBAVG,24.68340053763441,January,2019
HB_HUBAVG,27.459206989247352,July,2016
HB_HUBAVG,31.864408602150526,July,2017
HB_HUBAVG,78.83232526881713,July,2018
HB_HUBAVG,29.69623655913976,July,2019
HB_HUBAVG,24.297847222222227,June,2016
HB_HUBAVG,28.513847222222214,June,2017
HB_HUBAVG,29.781861111111088,June,2018
HB_HUBAVG,25.17154166666668,June,2019
HB_HUBAVG,16.654347240915186,March,2016
HB_HUBAVG,23.233230148048435,March,2017
HB_HUBAVG,22.40343203230148,March,2018
HB_HUBAVG,27.189030955585476,March,2019
HB_HUBAVG,18.247002688172035,May,2016
HB_HUBAVG,25.905026881720417,May,2017
HB_HUBAVG,32.83485215053763,May,2018
HB_HUBAVG,23.88376344086022,May,2019
HB_HUBAVG,19.489305555555553,November,2016
HB_HUBAVG,23.16713888888889,November,2017
HB_HUBAVG,30.277208333333338,November,2018
HB_HUBAVG,23.2572361111111,November,2019
HB_HUBAVG,25.769059139784947,October,2016
